type,organism,conservation_score
Essential,S. cerevisiae,0.344563
Essential,S. cerevisiae,0.7230275
Essential,S. cerevisiae,0.6988625
Essential,S. cerevisiae,0.422105
Essential,S. cerevisiae,0.551457
Essential,S. cerevisiae,0.366874
Essential,S. cerevisiae,0.734847
Essential,S. cerevisiae,0.447375
Essential,S. cerevisiae,0.423636
Essential,S. cerevisiae,0.539935
Essential,S. cerevisiae,0.478002
Essential,S. cerevisiae,0.545486
Essential,S. cerevisiae,0.4370495
Essential,S. cerevisiae,0.286035
Essential,S. cerevisiae,0.522931
Essential,S. cerevisiae,0.460765
Essential,S. cerevisiae,0.710936
Essential,S. cerevisiae,0.704543
Essential,S. cerevisiae,0.7755885
Essential,S. cerevisiae,0.4164335
Essential,S. cerevisiae,0.554867
Essential,S. cerevisiae,0.647161
Essential,S. cerevisiae,0.746707
Essential,S. cerevisiae,0.653722
Essential,S. cerevisiae,0.351319
Essential,S. cerevisiae,0.704827
Essential,S. cerevisiae,0.549998
Essential,S. cerevisiae,0.748983
Essential,S. cerevisiae,0.450804
Essential,S. cerevisiae,0.5484605
Essential,S. cerevisiae,0.5667
Essential,S. cerevisiae,0.468231
Essential,S. cerevisiae,0.7864355
Essential,S. cerevisiae,0.647732
Essential,S. cerevisiae,0.575029
Essential,S. cerevisiae,0.744766
Essential,S. cerevisiae,0.4105255
Essential,S. cerevisiae,0.48247
Essential,S. cerevisiae,0.4813525
Essential,S. cerevisiae,0.482613
Essential,S. cerevisiae,0.651317
Essential,S. cerevisiae,0.67352
Essential,S. cerevisiae,0.668081
Essential,S. cerevisiae,0.544987
Essential,S. cerevisiae,0.382872
Essential,S. cerevisiae,0.73889
Essential,S. cerevisiae,0.5236685
Essential,S. cerevisiae,0.399511
Essential,S. cerevisiae,0.696767
Essential,S. cerevisiae,0.357515
Essential,S. cerevisiae,0.317249
Essential,S. cerevisiae,0.560622
Essential,S. cerevisiae,0.759148
Essential,S. cerevisiae,0.446583
Essential,S. cerevisiae,0.546617
Essential,S. cerevisiae,0.720235
Essential,S. cerevisiae,0.4355875
Essential,S. cerevisiae,0.7711045
Essential,S. cerevisiae,0.481006
Essential,S. cerevisiae,0.6880525
Essential,S. cerevisiae,0.4970835
Essential,S. cerevisiae,0.7509945
Essential,S. cerevisiae,0.5756175
Essential,S. cerevisiae,0.68872
Essential,S. cerevisiae,0.39859
Essential,S. cerevisiae,0.6081535
Essential,S. cerevisiae,0.64613
Essential,S. cerevisiae,0.605226
Essential,S. cerevisiae,0.5320255
Essential,S. cerevisiae,0.6212165
Essential,S. cerevisiae,0.637228
Essential,S. cerevisiae,0.677909
Essential,S. cerevisiae,0.586248
Essential,S. cerevisiae,0.522593
Essential,S. cerevisiae,0.660202
Essential,S. cerevisiae,0.524436
Essential,S. cerevisiae,0.493761
Essential,S. cerevisiae,0.569931
Essential,S. cerevisiae,0.74651
Essential,S. cerevisiae,0.459012
Essential,S. cerevisiae,0.581543
Essential,S. cerevisiae,0.3918595
Essential,S. cerevisiae,0.676576
Essential,S. cerevisiae,0.745534
Essential,S. cerevisiae,0.739816
Essential,S. cerevisiae,0.510262
Essential,S. cerevisiae,0.661574
Essential,S. cerevisiae,0.3363325
Essential,S. cerevisiae,0.676522
Essential,S. cerevisiae,0.7200195
Essential,S. cerevisiae,0.417504
Essential,S. cerevisiae,0.4643115
Essential,S. cerevisiae,0.666519
Essential,S. cerevisiae,0.7817575
Essential,S. cerevisiae,0.576167
Essential,S. cerevisiae,0.7796905
Essential,S. cerevisiae,0.555992
Essential,S. cerevisiae,0.572876
Essential,S. cerevisiae,0.506135
Essential,S. cerevisiae,0.784253
Essential,S. cerevisiae,0.4531875
Essential,S. cerevisiae,0.6327305
Essential,S. cerevisiae,0.5624385
Essential,S. cerevisiae,0.515118
Essential,S. cerevisiae,0.794116
Essential,S. cerevisiae,0.612904
Essential,S. cerevisiae,0.7304405
Essential,S. cerevisiae,0.7234135
Essential,S. cerevisiae,0.61406
Essential,S. cerevisiae,0.636778
Essential,S. cerevisiae,0.4336745
Essential,S. cerevisiae,0.719172
Essential,S. cerevisiae,0.610542
Essential,S. cerevisiae,0.3548795
Essential,S. cerevisiae,0.689114
Essential,S. cerevisiae,0.517458
Essential,S. cerevisiae,0.542885
Essential,S. cerevisiae,0.791672
Essential,S. cerevisiae,0.560108
Essential,S. cerevisiae,0.4690145
Essential,S. cerevisiae,0.643392
Essential,S. cerevisiae,0.517082
Essential,S. cerevisiae,0.7459705
Essential,S. cerevisiae,0.6524025
Essential,S. cerevisiae,0.57506
Essential,S. cerevisiae,0.5161405
Essential,S. cerevisiae,0.420319
Essential,S. cerevisiae,0.497657
Essential,S. cerevisiae,0.6409915
Essential,S. cerevisiae,0.571793
Essential,S. cerevisiae,0.662484
Essential,S. cerevisiae,0.4899945
Essential,S. cerevisiae,0.532038
Essential,S. cerevisiae,0.621612
Essential,S. cerevisiae,0.481596
Essential,S. cerevisiae,0.6830735
Essential,S. cerevisiae,0.5237535
Essential,S. cerevisiae,0.504649
Essential,S. cerevisiae,0.713029
Essential,S. cerevisiae,0.470014
Essential,S. cerevisiae,0.520225
Essential,S. cerevisiae,0.727899
Essential,S. cerevisiae,0.656826
Essential,S. cerevisiae,0.556867
Essential,S. cerevisiae,0.5042335
Essential,S. cerevisiae,0.772532
Essential,S. cerevisiae,0.739886
Essential,S. cerevisiae,0.552394
Essential,S. cerevisiae,0.695204
Essential,S. cerevisiae,0.668984
Essential,S. cerevisiae,0.711279
Essential,S. cerevisiae,0.711869
Essential,S. cerevisiae,0.430165
Essential,S. cerevisiae,0.659707
Essential,S. cerevisiae,0.562907
Essential,S. cerevisiae,0.672228
Essential,S. cerevisiae,0.76076
Essential,S. cerevisiae,0.530033
Essential,S. cerevisiae,0.3960005
Essential,S. cerevisiae,0.690708
Essential,S. cerevisiae,0.505351
Essential,S. cerevisiae,0.383176
Essential,S. cerevisiae,0.784061
Essential,S. cerevisiae,0.441258
Essential,S. cerevisiae,0.366394
Essential,S. cerevisiae,0.416222
Essential,S. cerevisiae,0.419946
Essential,S. cerevisiae,0.500373
Essential,S. cerevisiae,0.478938
Essential,S. cerevisiae,0.395591
Essential,S. cerevisiae,0.641474
Essential,S. cerevisiae,0.5182435
Essential,S. cerevisiae,0.5472115
Essential,S. cerevisiae,0.709826
Essential,S. cerevisiae,0.319855
Essential,S. cerevisiae,0.485499
Essential,S. cerevisiae,0.731864
Essential,S. cerevisiae,0.596336
Essential,S. cerevisiae,0.7605435
Essential,S. cerevisiae,0.5565905
Essential,S. cerevisiae,0.500337
Essential,S. cerevisiae,0.559632
Essential,S. cerevisiae,0.629285
Essential,S. cerevisiae,0.77246
Essential,S. cerevisiae,0.776559
Essential,S. cerevisiae,0.433099
Essential,S. cerevisiae,0.693299
Essential,S. cerevisiae,0.397801
Essential,S. cerevisiae,0.566905
Essential,S. cerevisiae,0.6293545
Essential,S. cerevisiae,0.533079
Essential,S. cerevisiae,0.543755
Essential,S. cerevisiae,0.5735945
Essential,S. cerevisiae,0.5680675
Essential,S. cerevisiae,0.601676
Essential,S. cerevisiae,0.4743275
